"","dracor_id","filename","firstAuthor","title","subtitle","normalizedGenre","yearNormalized","size","C","density","L","averageDegree","diameter","numOfSpeakers","numConnectedComponents","numEdges","numOfSegments","numOfActs","C_rand","L_rand","C_dev","L_dev","S","swn","analysis2","swt","swt_VeBiDraCor_Struc","swt_VeBiDraCor_Struc_Hist","sft_VeBiDraCor_lin","sft_VeBiDraCor_pl","sft_VeBiDraCor_quad","sft_VeBiDraCor_exp","sft_VeBiDraCor_Struc_lin","sft_VeBiDraCor_Struc_pl","sft_VeBiDraCor_Struc_quad","sft_VeBiDraCor_Struc_exp","sft_VeBiDraCor_Struc_Hist_lin","sft_VeBiDraCor_Struc_Hist_pl","sft_VeBiDraCor_Struc_Hist_quad","sft_VeBiDraCor_Struc_Hist_exp","sft_VeBiDraCor","sft_VeBiDraCor_Struc","sft_VeBiDraCor_Struc_Hist"
"1","als000001","arnold-der-pfingstmontag","Arnold","Der Pfingstmontag","Lustspiel in Straßburger Mundart","",1816,16,0.978571428571429,0.9,1.1,13.5,2,16,1,108,42,5,0.898204705512182,1.1,1.08947484083088,1,1.08947484083088,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","als000002","stoskopf-ins-ropfers-apothek","Stoskopf","In’s Ropfer’s Apothek","Schwank in 3 Aufzügen","",1907,17,0.914156431803491,0.852941176470588,1.14705882352941,13.6470588235294,2,17,1,116,3,3,0.850692564772763,1.14705882352941,1.07460258812498,1,1.07460258812498,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","als000003","stoskopf-dr-hoflieferant","Stoskopf","D’r Hoflieferant","Elsässische Komödie in 3 Aufzügen von G. Stoskopf","",1905,21,1,1,1,20,1,21,1,210,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","als000004","hart-dr-poetisch-oscar","Hart","D’r poetisch Oscar","Einakter vun Marie Hart. Nej bearweit vun E. Deck, Regisseur vom Els. Theater in Hawenau.","",1937,6,0.9,0.866666666666667,1.13333333333333,4.33333333333333,2,6,1,13,10,0,0.846351515151515,1.13333333333333,1.06338794683776,1,1.06338794683776,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","als000005","greber-sainte-cecile","Greber","Sainte-Cécile!","Lustspiel in einem Aufzuge in Straßburger Mundart von Julius Greber","",1897,7,0.676190476190476,0.619047619047619,1.42857142857143,3.71428571428571,3,7,1,13,15,0,0.574890001244187,1.39112380952381,1.17620844809799,1.0269189692472,1.14537610397851,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","als000006","clemens-chrischtowe","Clemens","Chrischtowe","E Wihnachtsstüeckel in 1 Akt in elsässischem Dialekt füer kleine und grossi Kinder","",1919,12,1,1,1,11,1,12,1,66,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","als000007","bastian-dr-hofnarr-heidideldum","Bastian","D’r Hofnarr Heidideldum","Märel in 6 Bilder un 2 Verwandlunge vun Ferd. Bastian. Musik von Aug. Schwoob","",1937,30,0.841583187540786,0.554022988505747,1.48275862068966,16.0666666666667,3,30,1,241,43,6,0.552118022198822,1.4459816091954,1.52428131976052,1.02543394138651,1.48647441657675,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","als000008","bastian-dr-hans-im-schnokeloch","Bastian","D'r Hans im Schnokeloch","Volksspiel in 4 Aufzügen mit Musik, Gesang und Tanz von Ferd. Bastian","",1930,22,0.949430394167236,0.813852813852814,1.18614718614719,17.0909090909091,2,22,1,188,4,4,0.812255366589279,1.18614718614719,1.16888165128901,1,1.16888165128901,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","als000009","bastian-dr-maischter-hett-gewunne","Bastian","D'r Maischter hett gewunne!","Schwank in aam Akt","",1937,8,0.875,0.75,1.25,5.25,2,8,1,21,10,1,0.729581510323719,1.25003571428571,1.19931767406189,0.999971429387732,1.19935194028114,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","als000010","bastian-e-sportschochzitt","Bastian","E Sportschochzitt","E Farce in aam Akt","",1937,8,0.879761904761905,0.714285714285714,1.28571428571429,5,2,8,1,20,12,1,0.692378746725464,1.286,1.27063678502937,0.999777827149522,1.27091914875937,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","als000011","clemens-a-latzi-visit","Clemens","A lätzi Visit","Elsässisch Luschtspiel in 1 Akt vun Paul Clemens","",1920,5,1,1,1,4,1,5,1,10,11,0,1,1,1,1,1,FALSE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","als000012","clemens-charlot","Clemens","„Charlot“","E ürgelungenes Stückel in 1 Akt im elsässischa Dialekt von Paul Clemens, Bischheim (Nur Herrenrollen)","",1920,6,0.766666666666667,0.733333333333333,1.26666666666667,3.66666666666667,2,6,1,11,17,0,0.688097058823529,1.26666666666667,1.11418390303465,1,1.11418390303465,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","als000013","clemens-gift","Clemens","Gift!","Schwank in einem Akt in elsässischer Mundart","",1919,6,0.694444444444445,0.666666666666667,1.33333333333333,3.33333333333333,2,6,1,10,15,0,0.61190822954823,1.33633333333333,1.13488332222162,0.997755051134946,1.13743680969662,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","als000014","greber-d-jumpfer-prinzesse","Greber","D'Jumpfer Prinzesse","Schauspiel in 3 Aufzügen in Straßburger Mundart von Julius Greber. Mit einer Deckenzeichnung von C. Spindler.","",1899,12,0.932323232323232,0.909090909090909,1.09090909090909,10,2,12,1,60,4,4,0.906534965441399,1.09090909090909,1.02844707359884,1,1.02844707359884,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","als000015","greber-lucie","Greber","Lucie","Dramatisches Sittenbild in einem Aufzuge in Straßburger Mundart","",1896,8,0.838095238095238,0.714285714285714,1.28571428571429,5,2,8,1,20,14,0,0.691248854427534,1.28614285714286,1.21243635013228,0.999666777740753,1.21284049558232,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","als000016","horsch-d-madam-fahrt-velo","Horsch","D'Madam fahrt Velo","E modern's Lustspiel in 1 Akt","",1901,8,0.897619047619048,0.785714285714286,1.21428571428571,5.5,2,8,1,22,10,1,0.76851640252895,1.21428571428571,1.16798944650402,1,1.16798944650402,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","als000017","jost-daa-im-narrehuss","Jost","E Daa im Narrehüss","E Original-Farce in zwei kurze Akt vum Camille Jost","",1928,13,0.606593406593407,0.384615384615385,1.50909090909091,4.61538461538461,3,13,3,30,44,2,0.365869935305722,1.69935547785548,1.65794821617834,0.888037216907274,1.86698055510827,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","als000018","jost-so-e-liederlicher-frack","Jost","So e liederlicher Frack!","odder: E foljieschwäri Hüssuechung. E Schwank in 1 Uffzug","",1928,9,0.904761904761905,0.833333333333333,1.16666666666667,6.66666666666667,2,9,1,30,19,1,0.823092144982544,1.16666666666667,1.09922310676539,1,1.09922310676539,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","als000019","kettner-uff-dr-hochzittsreis","Kettner","Uff Dr Hochzittsreis","Luschtspiel in 1 Akt im els. Dialekt","",1924,5,1,1,1,4,1,5,1,10,17,0,1,1,1,1,1,FALSE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","als000020","kuehne-bureaukrate","Kühne","Bureaukrate!","Dialektkomödie in einem Akt","",1923,11,0.883116883116883,0.763636363636364,1.23636363636364,7.63636363636364,2,11,1,42,15,1,0.755809437907978,1.23636363636364,1.16843854922119,1,1.16843854922119,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","als000021","riff-sainte-barbe","Riff","Sainte Barbe","Comédie in Aam Uffzug vun Jean Riff","",1919,17,0.864166552401846,0.602941176470588,1.39705882352941,9.64705882352941,2,17,1,82,16,1,0.596162218883929,1.39723529411765,1.44954934249213,0.99987370016419,1.4497324434617,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","als000022","riff-s-paradies","Riff","s' Paradies","E luschdigs Schwänkele in aam Uffzug von Jean Riff","",1922,2,0,1,1,1,1,2,1,1,5,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","als000023","schneegans-steckelburjer-universite-saaue","Schneegans","Was d' Steckelburjer vun d'r „Université“ saaue","Humoristisches Intermezzo von Dr. Heinrich Schneegans Privatdocent, Aufgeführt zum Universitäts-Jubiläum am 2. Mai 1897","",1897,6,0.9,0.866666666666667,1.13333333333333,4.33333333333333,2,6,1,13,4,1,0.846593939393939,1.13333333333333,1.06308344310177,1,1.06308344310177,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","als000024","stoskopf-dr-herr-maire","Stoskopf","D'r Herr Maire","Lustspiel in drei Aufzügen von G. Stoskopf. 18. Auflage","",1898,39,0.794971365225152,0.348178137651822,1.85290148448043,13.2307692307692,3,39,1,258,56,4,0.345750228620029,1.65658704453441,2.29926490113419,1.11850535750217,2.05565837097899,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","als000025","weber-yo-yo","Weber","Yo-Yo!","E Geduldspiel in einem Akt","",1932,5,1,1,1,4,1,5,1,10,16,0,1,1,1,1,1,FALSE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","bash00001","karim-aj-totolghan-tonda","Кәрим","Ай тотолған төндә","Өс шаршаулы трагедия","",1964,17,0.914905682552741,0.867647058823529,1.13235294117647,13.8823529411765,2,17,1,118,4,4,0.865723351809339,1.13235294117647,1.05681067819253,1,1.05681067819253,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","bash00002","karim-tashlama-utty","Кәрим","Ташлама утты, Прометей!","Алты картиналы трагедия","",1975,34,0.889184396366126,0.529411764705882,1.47058823529412,17.4705882352941,2,34,1,297,6,1,0.527918690006099,1.47059714795009,1.68432073574787,0.99999393943067,1.68433094375233,TRUE,FALSE,FALSE,"FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","bash00003","khudayberdin-aq-bilettar","Худайбердин","Аҡ билеттәр","Роталар тормошонан","",1917,5,1,1,1,4,1,5,1,10,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","cal000001","a-dios-por-razon-de-estado","Calderón","A Dios por razón de estado","","",1717,18,1,1,1,17,1,18,1,153,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","cal000002","a-maria-el-corazon","Calderón","A María el corazón","Auto historial alegórico","",1717,14,1,1,1,13,1,14,1,91,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","cal000003","afectos-de-odio-y-amor","Calderón","Afectos de odio y amor","","",1664,14,1,1,1,13,1,14,1,91,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","cal000004","amor-honor-y-poder","Calderón","Amor, honor y poder","Comedia famosa","",1623,9,1,1,1,8,1,9,1,36,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","cal000005","andromeda-y-perseo","Calderón","Andrómeda y Perseo","Auto sacramental alegórico","",1759,16,1,1,1,15,1,16,1,120,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","cal000006","casa-con-dos-puertas-mala-es-de-guardar","Calderón","Casa con dos puertas mala es de guardar","Comedia famosa","",1629,10,1,1,1,9,1,10,1,45,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","cal000007","el-ano-santo-de-roma","Calderón","El año sancto de Roma","Auto sacramental","",1759,18,1,1,1,17,1,18,1,153,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","cal000008","el-cordero-de-isaias","Calderón","El cordero de Isaías","Auto sacramental alegórico","",1759,18,1,1,1,17,1,18,1,153,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","cal000009","el-diablo-mudo-primera-version","Calderón","El diablo mudo","Auto sacramental","",1660,13,1,1,1,12,1,13,1,78,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","cal000010","el-diablo-mudo-segunda-version","Calderón","El diablo mudo","Segunda versión. Auto historial alegórico","",1681,14,1,1,1,13,1,14,1,91,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","cal000012","el-divino-orfeo","Calderón","El divino Orfeo","Auto sacramental alegórico. Versión de 1663","",1663,17,1,1,1,16,1,17,1,136,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","cal000013","el-faetonte","Calderón","El Faetonte","Comedia famosa","",1661,20,1,1,1,19,1,20,1,190,4,3,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","cal000014","el-galan-fantasma","Calderón","El galán fantasma","","",1637,12,1,1,1,11,1,12,1,66,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","cal000015","el-gran-teatro-del-mundo","Calderón","El gran teatro del mundo","Auto sacramental alegórico","",1717,11,1,1,1,10,1,11,1,55,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","cal000016","el-indulto-general","Calderón","El indulto general","Auto sacramental alegórico","",1759,17,1,1,1,16,1,17,1,136,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","cal000017","el-jardin-de-falerina","Calderón","El jardín de Falerina","Fiesta que se representó a sus majestades","",1677,23,0.981931112365895,0.976284584980237,1.02371541501976,21.4782608695652,2,23,1,247,2,2,0.976129779792384,1.02371541501976,1.00594319801896,1,1.00594319801896,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","cal000018","el-medico-de-su-honra","Calderón","El médico de su honra","Comedia famosa","",1641,17,0.924499030381383,0.875,1.125,14,2,17,1,119,3,3,0.87324936843106,1.125,1.05868846151289,1,1.05868846151289,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","cal000019","el-monstruo-de-los-jardines","Calderón","El monstruo de los jardines","Comedia famosa","",1674,19,0.931200550395597,0.883040935672515,1.11695906432749,15.8947368421053,2,19,1,151,3,3,0.881444073404976,1.11695906432749,1.05644881903671,1,1.05644881903671,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","cal000020","el-nuevo-hospicio-de-pobres","Calderón","El nuevo hospicio de pobres","Auto sacramental alegórico intitulado","",1759,19,1,1,1,18,1,19,1,171,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","cal000021","el-santo-rey-don-fernando-primera-parte","Calderón","El santo rey don Fernando","Auto historial alegórico intitulado. Primera parte","",1671,13,1,1,1,12,1,13,1,78,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","cal000022","el-socorro-general","Calderón","El socorro general","Auto sacramental alegórico intitulado","",1644,14,1,1,1,13,1,14,1,91,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","cal000023","el-veneno-y-la-triaca","Calderón","El veneno y la triaca","Auto sacramental","",1717,11,1,1,1,10,1,11,1,55,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","cal000024","la-aurora-en-copacabana","Calderón","La aurora en Copacabana","Comedia famosa","",1674,28,0.910789323398019,0.830687830687831,1.16931216931217,22.4285714285714,2,28,1,314,3,3,0.829908152955742,1.16931216931217,1.09745797791505,1,1.09745797791505,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","cal000025","la-dama-duende","Calderón","La dama duende","Comedia famosa","",1636,9,0.972222222222222,0.972222222222222,1.02777777777778,7.77777777777778,2,9,1,35,3,3,0.970588235294118,1.02777777777778,1.0016835016835,1,1.0016835016835,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","cal000026","la-devocion-de-la-cruz","Calderón","La devoción de la Cruz","Comedia famosa","",1625,18,0.910166630754866,0.816993464052288,1.18300653594771,13.8888888888889,2,18,1,125,3,3,0.814624784988419,1.18300653594771,1.11728325423809,1,1.11728325423809,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","cal000027","la-devocion-de-la-misa","Calderón","La devoción de la misa","Auto historial alegórico","",1760,12,1,1,1,11,1,12,1,66,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","cal000028","la-fiera-el-rayo-y-la-piedra","Calderón","La fiera, el rayo y la piedra","","",1652,24,0.963039928543361,0.952898550724638,1.04710144927536,21.9166666666667,2,24,1,263,3,3,0.952567516093178,1.04710144927536,1.01099387946078,1,1.01099387946078,TRUE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","cal000029","la-hidalga-del-valle","Calderón","La hidalga del valle","","",1717,10,1,1,1,9,1,10,1,45,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","cal000030","la-humildad-coronada-de-las-plantas","Calderón","La humildad coronada","Auto sacramental alegórico","",1644,12,1,1,1,11,1,12,1,66,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","cal000031","la-inmunidad-del-sagrado","Calderón","La inmunidad del sagrado","Auto sacramental alegórico","",1664,16,1,1,1,15,1,16,1,120,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","cal000032","la-nave-del-mercader","Calderón","La nave del mercader","Auto sacramental alegórico intitulado","",1759,15,1,1,1,14,1,15,1,105,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","cal000033","la-piel-de-gedeon","Calderón","La piel de Gedeón","Auto sacramental historial y alegórico","",1760,17,1,1,1,16,1,17,1,136,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","cal000034","la-primer-flor-del-carmelo","Calderón","La primer flor del Carmelo","Auto sacramental","",1759,15,1,1,1,14,1,15,1,105,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","cal000035","la-protestacion-de-la-fe","Calderón","La protestación de la fe","Auto sacramental","",1656,15,1,1,1,14,1,15,1,105,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","cal000036","la-segunda-esposa","Calderón","La segunda esposa","Auto sacramental alegórico","",1648,13,1,1,1,12,1,13,1,78,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","cal000037","la-vida-es-sueno","Calderón","La vida es sueño","","",1636,13,1,1,1,12,1,13,1,78,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","cal000039","las-ordenes-militares","Calderón","Las Órdenes Militares","","",1662,19,1,1,1,18,1,19,1,171,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","cal000040","las-visiones-de-la-muerte","Calderón","Las visiones de la muerte","Mojiganga","",1673,11,1,1,1,10,1,11,1,55,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","cal000041","loa-a-el-ano-santo-de-roma","Calderón","Loa a El año santo de Roma","Primera parte","",1759,12,1,1,1,11,1,12,1,66,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","cal000042","loa-a-el-divino-orfeo","Calderón","Loa a El divino Orfeo","Auto sacramental","",1759,13,1,1,1,12,1,13,1,78,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","cal000043","loa-a-fieras-afemina-amor","Calderón","Loa a «Fieras afemina amor»","","",1717,28,1,1,1,27,1,28,1,378,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","cal000044","loa-en-metafora-de-la-piadosa-hermandad-del-refugio","Calderón","Loa en metáfora de la piadosa Hermandad del Refugio discurriendo por calles y templos de Madrid","Pedro Calderón de la Barca","",1759,8,1,1,1,7,1,8,1,28,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","cal000045","loa-para-el-gran-teatro-del-mundo","Calderón","Loa para el auto sacramental intitulado El gran teatro del mundo","Pedro Calderón de la Barca","",1717,10,1,1,1,9,1,10,1,45,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","cal000046","loa-para-la-humildad-coronada-de-las-plantas","Calderón","Loa para el auto sacramental intitulado «La humildad coronada de las plantas»","Pedro Calderón de la Barca","",1717,9,1,1,1,8,1,9,1,36,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","cal000047","loa-para-psiquis-y-cupido","Calderón","Loa para el auto sacramental intitulado «Psiquis y Cupido»","Pedro Calderón de la Barca","",1717,10,1,1,1,9,1,10,1,45,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","cal000048","los-encantos-de-la-culpa","Calderón","Los encantos de la culpa","Auto sacramental","",1645,13,1,1,1,12,1,13,1,78,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","cal000049","no-hay-instante-sin-milagro","Calderón","No hay instante sin milagro","Auto historial alegórico","",1677,17,1,1,1,16,1,17,1,136,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","cal000050","primero-y-segundo-isaac","Calderón","Primero y segundo Isaac","Auto sacramental alegórico intitulado","",1677,21,1,1,1,20,1,21,1,210,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","cal000051","psiquis-y-cupido-que-escribio-para-esta-villa-de-madrid","Calderón","Psiquis y Cupido, que escribió para esta villa de Madrid","Auto sacramental alegórico","",1665,15,1,1,1,14,1,15,1,105,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
